ID	ID2	STORES1	TRANSPORT1	CITY1	NOISE1	GREEN1	FOREIGN1	STORES2	TRANSPORT2	CITY2	NOISE2	GREEN2	FOREIGN2	STORES3	TRANSPORT3	CITY3	NOISE3	GREEN3	FOREIGN3	CHOICE	SSTADT	RESPCITY	WOMAN	AGE	ENVCONC	COMPLETE
6334	25333	10	5	1	2	2	0.4	15	10	2	3	3	0.1	2	15	4	4	4	0.2	1	4	4	0	44	3.833333254	1
6334	25334	15	5	4	4	1	0.1	2	10	5	1	2	0.2	5	15	1	2	3	0.3	2	4	4	0	44	3.833333254	1
6334	25335	10	15	1	3	1	0.4	15	2	2	4	2	0.1	2	5	4	1	3	0.2	3	4	4	0	44	3.833333254	1
6334	25336	15	15	5	4	4	0.4	2	2	1	1	1	0.1	5	5	2	2	2	0.2	2	4	4	0	44	3.833333254	1
6336	25341	10	5	1	2	2	0.4	15	10	2	3	3	0.1	2	15	4	4	4	0.2	1	3	3	0	29	4.666666508	1
6336	25342	15	5	4	4	1	0.1	2	10	5	1	2	0.2	5	15	1	2	3	0.3	3	3	3	0	29	4.666666508	1
6336	25343	10	15	1	3	1	0.4	15	2	2	4	2	0.1	2	5	4	1	3	0.2	3	3	3	0	29	4.666666508	1
6336	25344	15	15	5	4	4	0.4	2	2	1	1	1	0.1	5	5	2	2	2	0.2	3	3	3	0	29	4.666666508	1
6349	25393	10	5	1	2	2	0.4	15	10	2	3	3	0.1	2	15	4	4	4	0.2	2	2	2	0	57	4.5	1
6349	25394	15	5	4	4	1	0.1	2	10	5	1	2	0.2	5	15	1	2	3	0.3	2	2	2	0	57	4.5	1
6349	25395	10	15	1	3	1	0.4	15	2	2	4	2	0.1	2	5	4	1	3	0.2	3	2	2	0	57	4.5	1
6349	25396	15	15	5	4	4	0.4	2	2	1	1	1	0.1	5	5	2	2	2	0.2	3	2	2	0	57	4.5	1
6350	25397	2	15	5	3	1	0.2	5	2	1	4	2	0.3	10	5	2	1	3	0.4	2	3	3	0	29	4.333333492	1
6350	25398	2	2	2	4	3	0.4	5	5	4	1	4	0.1	10	10	5	2	1	0.2	1	3	3	0	29	4.333333492	1
6350	25399	10	2	4	4	3	0.2	15	5	5	1	4	0.3	2	10	1	2	1	0.4	3	3	3	0	29	4.333333492	1
6350	25400	2	5	5	2	2	0.2	5	10	1	3	3	0.3	10	15	2	4	4	0.4	2	3	3	0	29	4.333333492	1
6351	25401	15	5	5	1	3	0.4	2	10	1	2	4	0.1	5	15	2	3	1	0.2	2	3	3	1	47	3.833333254	1
6351	25402	5	15	1	4	4	0.2	10	2	2	1	1	0.3	15	5	4	2	2	0.4	1	3	3	1	47	3.833333254	1
6351	25403	15	2	2	3	2	0.2	2	5	4	4	3	0.3	5	10	5	1	4	0.4	2	3	3	1	47	3.833333254	1
6351	25404	10	2	5	1	1	0.3	15	5	1	2	2	0.4	2	10	2	3	3	0.1	3	3	3	1	47	3.833333254	1
6355	25417	2	15	5	3	1	0.2	5	2	1	4	2	0.3	10	5	2	1	3	0.4	3	4	4	1	58	4	1
6355	25418	2	2	2	4	3	0.4	5	5	4	1	4	0.1	10	10	5	2	1	0.2	2	4	4	1	58	4	1
6355	25419	10	2	4	4	3	0.2	15	5	5	1	4	0.3	2	10	1	2	1	0.4	2	4	4	1	58	4	1
6355	25420	2	5	5	2	2	0.2	5	10	1	3	3	0.3	10	15	2	4	4	0.4	2	4	4	1	58	4	1
6356	25421	15	10	1	3	3	0.3	2	15	2	4	4	0.4	5	2	4	1	1	0.1	1	2	2	1	34	3.5	1
6356	25422	10	5	2	3	4	0.1	15	10	4	4	1	0.2	2	15	5	1	2	0.3	1	2	2	1	34	3.5	1
6356	25423	5	2	5	2	4	0.1	10	5	1	3	1	0.2	15	10	2	4	2	0.3	2	2	2	1	34	3.5	1
6356	25424	5	5	2	4	1	0.3	10	10	4	1	2	0.4	15	15	5	2	3	0.1	2	2	2	1	34	3.5	1
6361	25441	5	15	2	1	2	0.3	10	2	4	2	3	0.4	15	5	5	3	4	0.1	2	1	1	1	57	4.833333492	1
6361	25442	2	15	4	2	3	0.3	5	2	5	3	4	0.4	10	5	1	4	1	0.1	1	1	1	1	57	4.833333492	1
6361	25443	5	5	1	1	3	0.2	10	10	2	2	4	0.3	15	15	4	3	1	0.4	2	1	1	1	57	4.833333492	1
6361	25444	15	15	4	1	2	0.1	2	2	5	2	3	0.2	5	5	1	3	4	0.3	2	1	1	1	57	4.833333492	1
6363	25449	2	2	1	1	1	0.1	5	5	2	2	2	0.2	10	10	4	3	3	0.3	2	4	4	1	40	4.166666508	1
6363	25450	5	10	5	3	3	0.1	10	15	1	4	4	0.2	15	2	2	1	1	0.3	1	4	4	1	40	4.166666508	1
6363	25451	2	5	4	3	4	0.3	5	10	5	4	1	0.4	10	15	1	1	2	0.1	1	4	4	1	40	4.166666508	1
6363	25452	10	15	2	2	3	0.1	15	2	4	3	4	0.2	2	5	5	4	1	0.3	1	4	4	1	40	4.166666508	1
6369	25473	15	10	1	3	3	0.3	2	15	2	4	4	0.4	5	2	4	1	1	0.1	3	2	2	0	59	1.5	1
6369	25474	10	5	2	3	4	0.1	15	10	4	4	1	0.2	2	15	5	1	2	0.3	3	2	2	0	59	1.5	1
6369	25475	5	2	5	2	4	0.1	10	5	1	3	1	0.2	15	10	2	4	2	0.3	1	2	2	0	59	1.5	1
6369	25476	5	5	2	4	1	0.3	10	10	4	1	2	0.4	15	15	5	2	3	0.1	1	2	2	0	59	1.5	1
6381	25521	15	5	5	1	3	0.4	2	10	1	2	4	0.1	5	15	2	3	1	0.2	2	3	3	1	59	2.666666746	1
6381	25522	5	15	1	4	4	0.2	10	2	2	1	1	0.3	15	5	4	2	2	0.4	3	3	3	1	59	2.666666746	1
6381	25523	15	2	2	3	2	0.2	2	5	4	4	3	0.3	5	10	5	1	4	0.4	3	3	3	1	59	2.666666746	1
6381	25524	10	2	5	1	1	0.3	15	5	1	2	2	0.4	2	10	2	3	3	0.1	3	3	3	1	59	2.666666746	1
6382	25525	5	15	2	1	2	0.3	10	2	4	2	3	0.4	15	5	5	3	4	0.1	3	4	4	0	47	5	1
6382	25526	2	15	4	2	3	0.3	5	2	5	3	4	0.4	10	5	1	4	1	0.1	2	4	4	0	47	5	1
6382	25527	5	5	1	1	3	0.2	10	10	2	2	4	0.3	15	15	4	3	1	0.4	1	4	4	0	47	5	1
6382	25528	15	15	4	1	2	0.1	2	2	5	2	3	0.2	5	5	1	3	4	0.3	3	4	4	0	47	5	1
6385	25537	10	10	4	1	4	0.2	15	15	5	2	1	0.3	2	2	1	3	2	0.4	1	2	2	0	47	2.5	1
6385	25538	10	10	5	4	2	0.3	15	15	1	1	3	0.4	2	2	2	2	4	0.1	3	2	2	0	47	2.5	1
6385	25539	5	2	4	3	2	0.4	10	5	5	4	3	0.1	15	10	1	1	4	0.2	1	2	2	0	47	2.5	1
6385	25540	2	10	1	4	2	0.1	5	15	2	1	3	0.2	10	2	4	2	4	0.3	3	2	2	0	47	2.5	1
6390	25557	15	5	5	1	3	0.4	2	10	1	2	4	0.1	5	15	2	3	1	0.2	3	1	1	0	66	1.166666627	1
6390	25558	5	15	1	4	4	0.2	10	2	2	1	1	0.3	15	5	4	2	2	0.4	2	1	1	0	66	1.166666627	1
6390	25559	15	2	2	3	2	0.2	2	5	4	4	3	0.3	5	10	5	1	4	0.4	1	1	1	0	66	1.166666627	1
6390	25560	10	2	5	1	1	0.3	15	5	1	2	2	0.4	2	10	2	3	3	0.1	3	1	1	0	66	1.166666627	1
6397	25585	15	10	2	2	1	0.2	2	15	4	3	2	0.3	5	2	5	4	3	0.4	1	3	3	0	33	4.666666508	1
6397	25586	15	2	1	2	4	0.3	2	5	2	3	1	0.4	5	10	4	4	2	0.1	1	3	3	0	33	4.666666508	1
6397	25587	2	10	2	1	4	0.4	5	15	4	2	1	0.1	10	2	5	3	2	0.2	1	3	3	0	33	4.666666508	1
6397	25588	5	10	4	2	1	0.4	10	15	5	3	2	0.1	15	2	1	4	3	0.2	1	3	3	0	33	4.666666508	1
6399	25593	5	15	2	1	2	0.3	10	2	4	2	3	0.4	15	5	5	3	4	0.1	2	3	3	1	33	3.333333254	1
6399	25594	2	15	4	2	3	0.3	5	2	5	3	4	0.4	10	5	1	4	1	0.1	2	3	3	1	33	3.333333254	1
6399	25595	5	5	1	1	3	0.2	10	10	2	2	4	0.3	15	15	4	3	1	0.4	1	3	3	1	33	3.333333254	1
6399	25596	15	15	4	1	2	0.1	2	2	5	2	3	0.2	5	5	1	3	4	0.3	3	3	3	1	33	3.333333254	1
6401	25601	2	2	1	1	1	0.1	5	5	2	2	2	0.2	10	10	4	3	3	0.3	2	2	2	1	60	4	1
6401	25602	5	10	5	3	3	0.1	10	15	1	4	4	0.2	15	2	2	1	1	0.3	1	2	2	1	60	4	1
6401	25603	2	5	4	3	4	0.3	5	10	5	4	1	0.4	10	15	1	1	2	0.1	3	2	2	1	60	4	1
6401	25604	10	15	2	2	3	0.1	15	2	4	3	4	0.2	2	5	5	4	1	0.3	1	2	2	1	60	4	1
6402	25605	10	5	1	2	2	0.4	15	10	2	3	3	0.1	2	15	4	4	4	0.2	1	3	3	1	45	1.833333373	1
6402	25606	15	5	4	4	1	0.1	2	10	5	1	2	0.2	5	15	1	2	3	0.3	3	3	3	1	45	1.833333373	1
6402	25607	10	15	1	3	1	0.4	15	2	2	4	2	0.1	2	5	4	1	3	0.2	3	3	3	1	45	1.833333373	1
6402	25608	15	15	5	4	4	0.4	2	2	1	1	1	0.1	5	5	2	2	2	0.2	3	3	3	1	45	1.833333373	1
6403	25609	2	15	5	3	1	0.2	5	2	1	4	2	0.3	10	5	2	1	3	0.4	3	1	1	1	37	3.333333254	1
6403	25610	2	2	2	4	3	0.4	5	5	4	1	4	0.1	10	10	5	2	1	0.2	2	1	1	1	37	3.333333254	1
6403	25611	10	2	4	4	3	0.2	15	5	5	1	4	0.3	2	10	1	2	1	0.4	2	1	1	1	37	3.333333254	1
6403	25612	2	5	5	2	2	0.2	5	10	1	3	3	0.3	10	15	2	4	4	0.4	1	1	1	1	37	3.333333254	1
6404	25613	15	10	2	2	1	0.2	2	15	4	3	2	0.3	5	2	5	4	3	0.4	2	4	4	1	31	3.166666746	1
6404	25614	15	2	1	2	4	0.3	2	5	2	3	1	0.4	5	10	4	4	2	0.1	1	4	4	1	31	3.166666746	1
6404	25615	2	10	2	1	4	0.4	5	15	4	2	1	0.1	10	2	5	3	2	0.2	3	4	4	1	31	3.166666746	1
6404	25616	5	10	4	2	1	0.4	10	15	5	3	2	0.1	15	2	1	4	3	0.2	3	4	4	1	31	3.166666746	1
6406	25621	15	10	1	3	3	0.3	2	15	2	4	4	0.4	5	2	4	1	1	0.1	2	4	4	0	56	4	1
6406	25622	10	5	2	3	4	0.1	15	10	4	4	1	0.2	2	15	5	1	2	0.3	2	4	4	0	56	4	1
6406	25623	5	2	5	2	4	0.1	10	5	1	3	1	0.2	15	10	2	4	2	0.3	3	4	4	0	56	4	1
6406	25624	5	5	2	4	1	0.3	10	10	4	1	2	0.4	15	15	5	2	3	0.1	2	4	4	0	56	4	1
6410	25637	15	5	5	1	3	0.4	2	10	1	2	4	0.1	5	15	2	3	1	0.2	2	3	3	0	46	3.5	1
6410	25638	5	15	1	4	4	0.2	10	2	2	1	1	0.3	15	5	4	2	2	0.4	2	3	3	0	46	3.5	1
6410	25639	15	2	2	3	2	0.2	2	5	4	4	3	0.3	5	10	5	1	4	0.4	3	3	3	0	46	3.5	1
6410	25640	10	2	5	1	1	0.3	15	5	1	2	2	0.4	2	10	2	3	3	0.1	3	3	3	0	46	3.5	1
6411	25641	15	5	5	1	3	0.4	2	10	1	2	4	0.1	5	15	2	3	1	0.2	2	1	1	1	57	3.833333254	1
6411	25642	5	15	1	4	4	0.2	10	2	2	1	1	0.3	15	5	4	2	2	0.4	2	1	1	1	57	3.833333254	1
6411	25643	15	2	2	3	2	0.2	2	5	4	4	3	0.3	5	10	5	1	4	0.4	1	1	1	1	57	3.833333254	1
6411	25644	10	2	5	1	1	0.3	15	5	1	2	2	0.4	2	10	2	3	3	0.1	3	1	1	1	57	3.833333254	1
6412	25645	15	10	2	2	1	0.2	2	15	4	3	2	0.3	5	2	5	4	3	0.4	2	1	1	0	55	2.833333254	1
6412	25646	15	2	1	2	4	0.3	2	5	2	3	1	0.4	5	10	4	4	2	0.1	2	1	1	0	55	2.833333254	1
6412	25647	2	10	2	1	4	0.4	5	15	4	2	1	0.1	10	2	5	3	2	0.2	1	1	1	0	55	2.833333254	1
6412	25648	5	10	4	2	1	0.4	10	15	5	3	2	0.1	15	2	1	4	3	0.2	1	1	1	0	55	2.833333254	1
6415	25657	2	2	1	1	1	0.1	5	5	2	2	2	0.2	10	10	4	3	3	0.3	2	4	4	0	20	4.5	1
6415	25658	5	10	5	3	3	0.1	10	15	1	4	4	0.2	15	2	2	1	1	0.3	1	4	4	0	20	4.5	1
6415	25659	2	5	4	3	4	0.3	5	10	5	4	1	0.4	10	15	1	1	2	0.1	1	4	4	0	20	4.5	1
6415	25660	10	15	2	2	3	0.1	15	2	4	3	4	0.2	2	5	5	4	1	0.3	2	4	4	0	20	4.5	1
6416	25661	2	15	5	3	1	0.2	5	2	1	4	2	0.3	10	5	2	1	3	0.4	2	1	1	0	56	3.333333254	1
6416	25662	2	2	2	4	3	0.4	5	5	4	1	4	0.1	10	10	5	2	1	0.2	2	1	1	0	56	3.333333254	1
6416	25663	10	2	4	4	3	0.2	15	5	5	1	4	0.3	2	10	1	2	1	0.4	2	1	1	0	56	3.333333254	1
6416	25664	2	5	5	2	2	0.2	5	10	1	3	3	0.3	10	15	2	4	4	0.4	2	1	1	0	56	3.333333254	1
6421	25681	10	5	1	2	2	0.4	15	10	2	3	3	0.1	2	15	4	4	4	0.2	2	1	1	1	42	3.5	1
6421	25682	15	5	4	4	1	0.1	2	10	5	1	2	0.2	5	15	1	2	3	0.3	2	1	1	1	42	3.5	1
6421	25683	10	15	1	3	1	0.4	15	2	2	4	2	0.1	2	5	4	1	3	0.2	3	1	1	1	42	3.5	1
6421	25684	15	15	5	4	4	0.4	2	2	1	1	1	0.1	5	5	2	2	2	0.2	3	1	1	1	42	3.5	1
6422	25685	2	15	5	3	1	0.2	5	2	1	4	2	0.3	10	5	2	1	3	0.4	3	1	1	1	30	4.333333492	1
6422	25686	2	2	2	4	3	0.4	5	5	4	1	4	0.1	10	10	5	2	1	0.2	2	1	1	1	30	4.333333492	1
6422	25687	10	2	4	4	3	0.2	15	5	5	1	4	0.3	2	10	1	2	1	0.4	2	1	1	1	30	4.333333492	1
6422	25688	2	5	5	2	2	0.2	5	10	1	3	3	0.3	10	15	2	4	4	0.4	2	1	1	1	30	4.333333492	1
6442	25765	15	10	1	3	3	0.3	2	15	2	4	4	0.4	5	2	4	1	1	0.1	1	3	3	1	62	4.666666508	1
6442	25766	10	5	2	3	4	0.1	15	10	4	4	1	0.2	2	15	5	1	2	0.3	1	3	3	1	62	4.666666508	1
6442	25767	5	2	5	2	4	0.1	10	5	1	3	1	0.2	15	10	2	4	2	0.3	1	3	3	1	62	4.666666508	1
